title,description,url,img_url,youtube_video,Sub_region,Calories,Protein,Time
Pakistani Pot Roast Beef Fillets (Pasanday),"This pasanday is a common Pakistani meat dish. Beef is marinated with a mixture of flavorful spices and yogurt, which gives the beef an exceptional flavor. Serve hot with pita or naan (Pakistani flatbread).",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5125,https://images.media-allrecipes.com/userphotos/560x315/5159173.jpg,https://www.youtube.com/results?search_query=How+to+make+Pakistani+Pot+Roast+Beef+Fillets+(Pasanday),Pakistani,421.0,206.317,55
Besan Ladoo,"Ladoos are an Indian and Pakistani sweet. I added a twist to mine and included coconut...my family loves these. They can be enjoyed at any holiday, as a treat during tea time, etc. And they're easy to make, in my opinion.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5127,https://images.media-allrecipes.com/userphotos/250x250/941665.jpg,https://www.youtube.com/results?search_query=How+to+make+Besan+Ladoo,Pakistani,267.0,42.6372,165
Pakistani Lentil Curry,"This cheap and very easy Pakistani meal is usually eaten with Basmati rice, tossed salad, and hot pickles. It is relatively quick to make, and tastes even better the second day.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5128,https://images.media-allrecipes.com/userphotos/250x250/440879.jpg,https://www.youtube.com/results?search_query=How+to+make+Pakistani+Lentil+Curry,Pakistani,481.0,18.9079,115
Rice Pudding (Kheer),"This is a very famous Pakistani desert, which is cooked by mixing rice and milk. It is very nutritious and very rich tasting. Serve warm or cold.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5129,https://images.media-allrecipes.com/userphotos/560x315/3591083.jpg,https://www.youtube.com/results?search_query=How+to+make+Rice+Pudding+(Kheer),Pakistani,439.0,68.0832,130
Butter Lamb Gravy,"Lamb is simmered in a spicy tomato and cream sauce. This is a very mouthwatering dish that is easy to make. Serve with hot cooked rice or your favorite bread. You can even make a variation with chicken, salmon or beef.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5130,https://images.media-allrecipes.com/userphotos/560x315/199892.jpg,https://www.youtube.com/results?search_query=How+to+make+Butter+Lamb+Gravy,Pakistani,321.0,162.9758,60
Kala Chola Pakistani-Style,"This Pakistani kala chola recipe is made with kala chana, which is in the family of garbanzo beans. It can be served as a meal with rice or just on its own. You can find kala chana in Indian/Pakistani stores or in the Indian/Pakistani section of an international store. It is really tasty and very popular in my home. According to my mom (a diabetic), kala chana are high in fiber and low in fat. It is great for people with blood sugar problems. Serve by garnishing with onion and cilantro with basmati rice. Hope you all enjoy it.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5132,https://images.media-allrecipes.com/userphotos/250x250/837373.jpg,https://www.youtube.com/results?search_query=How+to+make+Kala+Chola+Pakistani-Style,Pakistani,388.0,6.1644,690
Spicy Pakistani Zucchini,"I am from Pakistan, and this recipe is from the Pakistani kitchen. This dish is traditionally served with chapati, but you can serve it with boiled rice too.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5136,https://images.media-allrecipes.com/userphotos/250x250/248665.jpg,https://www.youtube.com/results?search_query=How+to+make+Spicy+Pakistani+Zucchini,Pakistani,231.0,14.5771,20
Curried Beef with Winter Vegetables,"The UK has large Indian and Pakistani populations, so curry is a popular meal where I live. I don't like hot curries, but mild ones are a nice change. This is a mild curried beef recipe with winter root vegetables. It's very filling and goes nicely with brown basmati rice. Chinese five-spice is a mixture of anise seed, cinnamon, fennel, black pepper, and cloves.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5137,https://images.media-allrecipes.com/userphotos/560x315/4464921.jpg,https://www.youtube.com/results?search_query=How+to+make+Curried+Beef+with+Winter+Vegetables,Pakistani,343.0,64.5458,125
Gulab Jamun or Kala Jam (Waffle Balls),"These are like little waffle balls that sit in and absorb a sugary rosewater syrup. It was first made on the Indian subcontinent, around South Asia. Gulab Juman originated from Luqmat Al-Qadi, an Arabic dessert. This dessert is popular at weddings, Diwali, Eid Al-Fitr and Eid Al-Adha. There a several different types of jamun with different looks and taste. Serve hot or cold.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5138,https://images.media-allrecipes.com/userphotos/560x315/4481937.jpg,https://www.youtube.com/results?search_query=How+to+make+Gulab+Jamun+or+Kala+Jam+(Waffle+Balls),Pakistani,187.0,1.1753,77
Matar Pulao (Rice with Peas),"This is very easy recipe, with basmati rice and green peas. It is very mild and fragrant, and great as a side dish, or for those picky kids who don't like their peas. The word 'matar' means green peas in Urdu.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5142,https://images.media-allrecipes.com/userphotos/560x315/199893.jpg,https://www.youtube.com/results?search_query=How+to+make+Matar+Pulao+(Rice+with+Peas),Pakistani,313.0,35.7676,30
